Position(bp)	Rate(cM/Mb)	Map(cM)
2481	9.753846608192315	0.008368800389829007
3339	9.742033607985588	0.008456478692300876
3348	9.737603732908065	0.008651230766959037
3368	9.826201234458521	0.008670883169427955
3370	9.893387673134283	0.008779710433832431
3381	9.678538731874427	0.008924888514810547
3396	9.674108856796906	0.008992607276808125
3403	9.63571660612504	0.00907932872626325
3412	4.805676146599333	0.009175442249195236
3432	3.63257139482	0.009179074820590057
3433	2.4307462862880596	0.009196090044594074
3440	1.7470688993237058	0.009211813664687988
3449	1.657880747762913	0.009261550087120875
3479	1.6552228227163994	0.009284723206638904
3493	1.655075160213815	0.009294653657600186
3499	1.6551489914651072	0.009322791190455093
3516	1.6552966539676917	0.009362518310150317
3540	1.6551489914651072	0.009364173459141782
3541	1.6554443164702752	0.009390660568205306
3557	1.6553704852189834	0.00943204483033578
3582	1.6555919789728595	0.00952475798115826
3638	1.6522695726647172	0.009613980538082155
3692	1.4857062697498595	0.0096600374324444
3723	1.0219721803845132	0.009710114069283241
3772	0.4800803284014058	0.00971635511355246
3785	0.061243761259265825	0.009721499589498238
3869	0.0354168512447949	0.009722951680399276
3910	0.03489043442308261	0.009724800873423698
3963	0.03482693954697145	0.009726193951005577
4003	0.03482693954697145	0.009728213913499302
4061	0.03482693954697145	0.009731383164998076
4152	0.03482693954697145	0.009738696822302939
4362	0.03482693954697145	0.009749179731106578
4663	0.035356309618735426	0.009750275776704759
4694	0.037896104663181836	0.009750465257228075
4699	0.043005227252591476	0.009750594272909833
4702	0.043113759191990786	0.009750852955464986
4708	0.043113759191990786	0.009751715230648826
4728	0.06786273293759783	0.009752665308909952
4742	0.19954372286701516	0.009755858008475825
4758	2.7148489412598567	0.009774861951064645
4765	7.773692448539618	0.010008072724520834
4795	7.722748885148104	0.010077577464487167
4804	12.732937597826407	0.010255838590856737
4818	7.096216886683795	0.010397762928590413
4838	1.626871622220253	0.010534420144856914
4922	0.36864682082631933	0.010569072946014588
5016	0.36806355394111223	0.010572753581554
5026	0.3677829951862024	0.010575328062520303
5033	0.36727355955228724	0.010946641631227666
6044	107.35063937863619	0.08802440070508843
6762	107.09222999911402	0.09937617708499452
6868	80.97073329198783	0.09994297221803844
6875	0.4647677268834352	0.09996853444301702
6930	0.4629883937272969	0.09998427604840375
6964	0.4627152180975163	0.10001388982236199
7028	1.075056850063495	0.10002356533401256
7037	4.506142760107498	0.10005510833333331
7044	12.312837777974663	0.10197591102669736
7200	54.35161395115325	0.10213896586855081
7203	62.918254038569444	0.12969716113744423
7641	0.5767992675939871	0.13002016872729685
8201	0.5757656300758986	0.13005644196199165
8264	0.5738238681669177	0.13043229659564098
8919	0.5738312512920469	0.13082250184651958
9599	0.5740896606715691	0.13084890997091048
9645	0.5740896606715691	0.1323346540127285
12233	0.2686497740763711	0.1324609194065444
12703	0.07552937007176398	0.13264188777723634
15099	0.07092229999114026	0.13266210063273381
15384	0.06101488438026048	0.13280457038776172
17719	0.06101488438026048	0.13287858144251496
18932	0.06101488438026048	0.13288315755884347
19007	0.06101488438026048	0.13296943260535715
20421	0.061019314255338	0.133102027575234
