Position(bp)	Rate(cM/Mb)	Map(cM)
475	13.14565429254895	3.943696287764685e-5
478	13.232036856560647	7.142708425622398e-4
529	146.3926050618706	0.008326686305779511
581	0.7829804199521573	0.009766587298071528
2420	0.7829065887008654	0.010363162118661588
3182	0.7829065887008654	0.010471986134491008
3321	0.7829065887008654	0.010639528144472993
3535	0.782611263695697	0.01078196339446561
3717	0.782315938690529	0.010845330985499543
3798	0.7819467824340687	0.010938382652609198
3917	0.782832757449573	0.010993180945630667
3987	0.7782552198694663	0.01135506962286997
4452	0.7764832698384573	0.01345856280086235
7161	0.7764832698384573	0.013462445217211542
7166	0.7762617760845809	0.016574478677534626
11175	0.776335607335873	0.016640467204158176
11260	0.7762617760845809	0.016642019727710344
11262	0.7762617760845809	0.016697910575588434
11334	0.776187944833289	0.016821324458816928
11493	0.7757449573255367	0.021481224417471426
17500	0.6315229910516523	0.022571233100026577
19226	0.6083695106464665	0.02293199621983993
19819	0.593455597885473	0.023287476122973327
20418	0.5882800271699006	0.024348145011960656
22221	0.5882874102950297	0.024401679166297503
22312	0.5881397477924456	0.026422527339712346
25748	4.5708189362393314	0.027546948798027222
25994	1.1517675201559316	0.02755616293818847
26002	0.5922669147396711	0.027580445881692797
26043	0.5917057972298514	0.02760411411358199
26083	0.5897345028203538	0.02760883198960455
26091	0.5882135790437377	0.02762883125129204
26125	0.5879108709134403	0.027634710360001175
26135	0.5871725584005197	0.027647628156285985
26157	0.5866335902660879	0.027806019225657827
26427	9.386905289270842	0.0378593947904669
27498	0.11548684327101975	0.03800548564720474
28763	0.1010602167685538	0.03805631893623932
29266	0.09880098047901714	0.03844371758069755
33187	0.09880098047901714	0.03847493869052892
33503	0.09880098047901714	0.038616224092613914
34933	0.09880098047901714	0.03862699339948613
35042	0.09880098047901714	0.03913413883228493
40175	0.09880098047901714	0.039355453028557925
42415	0.09880098047901714	0.03938410531289684
42705	0.09880098047901714	0.03958743773072266
44763	0.09880098047901714	0.03961668282094445
45059	0.09880098047901714	0.03988818791530079
47807	0.09880098047901714	0.04002502727326423
49192	0.09880098047901714	0.040213045539115796
51095	0.09880098047901714	0.04022035681167124
51169	0.09880098047901714	0.04029900239213254
51965	0.09880098047901714	0.04030097841174212
51985	0.09879359735388796	0.0403627244100883
52610	0.09879359735388796	0.040403032197808685
53018	0.09876406485337114	0.040466043671185135
53656	0.09876406485337114	0.04052322806473524
54235	0.09874929860311271	0.04052984426774165
54302	0.09874929860311271	0.04053863295531733
54391	0.09874191547798353	0.04054939582410443
54500	0.09873453235285432	0.04067715830896903
55794	0.09872714922772512	0.04083630647352412
57406	0.09872714922772512	0.040946979607808395
58527	0.09872714922772512	0.040987062830394855
58933	0.0987197661025959	0.04108222868491776
59897	0.0987197661025959	0.041204937354183284
61140	0.0987197661025959	0.041208886144827386
61180	0.0987197661025959	0.041215204209857956
61244	0.0987123829774667	0.04132734147692036
62380	0.0987123829774667	0.04144263754023804
63548	0.09869761672720831	0.041560383796993595
64741	0.09869761672720831	0.04165365304480081
65686	0.09869023360207911	0.04183593390626385
67533	0.09869023360207911	0.041849158397566526
67667	0.09865331797643306	0.04202614245001625
69461	0.09865331797643306	0.042212301261037775
71348	0.09865331797643306	0.04221466894066921
71372	0.09864593485130385	0.04248643849118455
74127	0.09865331797643306	0.042522940218835834
74497	0.09865331797643306	0.04300081689111367
79341	0.04704305838575352	0.043187483746788345
83309	0.013653613301438232	0.04320349943519093
84482	0.00676995658722424	0.04320601108908479
84853	0.004584920705236113	0.04322395646872509
88767	0.004584920705236113	0.04322488720762825
88970	0.004584920705236113	0.04322885316403828
89835	0.004584920705236113	0.04323031116882255
90153	0.004584920705236113	0.04323142988947463
90397	0.004584920705236113	0.04323739487131214
91698	0.004584920705236113	0.04323780751417561
91788	0.004584920705236113	0.043248109831000275
94035	0.004584920705236113	0.043249535741339606
94346	0.004584920705236113	0.04324983376118545
94411	0.004584920705236113	0.04326498233919555
97715	0.004584920705236113	0.04328516516014
102117	0.004584920705236113	0.04328642601333394
102392	0.0048820176604353095	0.043289072066905895
102934	0.005838353858421193	0.04329921912591183
104672	0.017552641682171233	0.04335558065835328
107883	0.04952083517911461	0.04344174691156494
109623	0.05082469507693218	0.043676353704040057
114239	0.05224520835179114	0.043711096767594
114904	0.07235684120374472	0.043711169124435206
114905	0.09805528484096748	0.0437551959473288
115354	0.07905850388352381	0.04375535406433657
115356	0.05695268893417207	0.043792316359454846
116005	0.05808304539145329	0.04393833713556896
118519	0.058447771772836006	0.04402460604670567
119995	0.058447771772836006	0.04423449199514192
123586	0.058447771772836006	0.044248519460367404
123826	0.058447771772836006	0.04424933772917222
123840	0.05844924839786185	0.044308663716296055
124855	0.05844924839786185	0.044314976235123024
124963	0.05844924839786185	0.044354137231549594
125633	0.05844924839786185	0.044385524477939246
126170	0.05844924839786185	0.0443923045907534
126286	0.05844924839786185	0.04442351648939786
126820	0.05844924839786185	0.04479981275058329
133258	0.05844924839786185	0.04482927117177581
133762	0.05844924839786185	0.04487567987500372
134556	0.05844924839786185	0.045015081332432615
136941	0.05844924839786185	0.04515518418084229
139338	0.05844924839786185	0.04530393751801484
141883	0.05844924839786185	0.04536560147507459
142938	0.05844924839786185	0.04546993338346477
144723	0.05844924839786185	0.045652937980198476
147854	0.0584581081480169	0.045661122115339195
147994	0.05854153746197691	0.0457613452274741
149706	0.058593219337881336	0.04607985796779482
155142	0.16061988718584802	0.04608017920756919
155144	0.09383952039219161	0.04619560181765159
156374	0.13299961607749328	0.0462055767888574
156449	0.1582056052685981	0.0468282740511946
160385	0.1544549777029621	0.04692249158759341
160995	0.15324414518177254	0.046974288108664844
161333	0.15231387141549274	0.04720839452903046
162870	0.14955258261717022	0.04741313201463337
164239	0.14952305011665337	0.04745185848461358
164498	0.1491317444848055	0.04772715568493253
166344	0.14900623135760907	0.04779927470090961
166828	0.14881427010424975	0.04780076284361065
166838	0.14872567260269925	0.04795439646340924
167871	0.14871090635244086	0.047973580170328704
168000	0.14871090635244086	0.0481286856456543
