Position(bp)	Rate(cM/Mb)	Map(cM)
467	0.027543486607011017	6.087110540149435e-6
688	0.027543486607011017	2.0519897522223207e-5
1212	0.027543486607011017	2.4513703080239804e-5
1357	0.027543486607011017	3.354796668733942e-5
1685	0.027543486607011017	4.908249313369363e-5
2249	0.027543486607011017	5.55001255131272e-5
2482	0.027543486607011017	5.569292991937628e-5
2489	0.027543486607011017	6.021006172292609e-5
2653	0.027543486607011017	6.043040961578217e-5
2661	0.027543486607011017	6.761925962021205e-5
2922	0.027543486607011017	7.197113050411979e-5
3080	0.027534626856855968	7.670708632349902e-5
3252	0.027534626856855968	9.576104810844334e-5
3944	0.027534626856855968	9.986370751011488e-5
4093	0.027534626856855968	1.048474749712058e-4
4274	0.027535365169368893	1.1029947727474084e-4
4472	0.027535365169368893	1.316669206461711e-4
5248	0.027535365169368893	1.3513637665751158e-4
5374	0.027530935294291365	1.4672690041640825e-4
5795	0.027530935294291365	1.4887431336936297e-4
5873	0.027530935294291365	1.583724860458935e-4
6218	0.027530935294291365	1.6451188461652047e-4
6441	0.027530935294291365	1.6685201411653525e-4
6526	0.027530935294291365	1.734043767165766e-4
6764	0.027530196981778447	1.857929653583769e-4
7214	0.027530196981778447	1.9336376952836597e-4
7489	0.027530196981778447	1.9435485661971e-4
7525	0.027530196981778447	1.962819704084345e-4
7595	0.027530196981778447	2.011272850772275e-4
7771	0.027530196981778447	2.0566976757922095e-4
7936	0.027530196981778447	2.1681949735684122e-4
8341	0.027530196981778447	2.1723245031156788e-4
8356	0.027530196981778447	2.2532632822421075e-4
8650	0.027530196981778447	2.292356161956233e-4
8792	0.027530196981778447	2.302542334839491e-4
8829	0.027530196981778447	2.307773072266029e-4
8848	0.027530196981778447	2.4498288886920055e-4
9364	0.027529458669265528	2.556367893742063e-4
9751	0.027529458669265528	2.6133538731874426e-4
9958	0.027529458669265528	2.6909869466347714e-4
10240	0.027527982044239684	2.7551271447978496e-4
10473	0.027527982044239684	2.773020333126605e-4
10538	0.027527982044239684	2.782104567201204e-4
10571	0.027527982044239684	2.7914640810962457e-4
10605	0.027527982044239684	2.8718457886654254e-4
10897	0.027527982044239684	2.8864356191488723e-4
10950	0.027527982044239684	2.979755478278845e-4
11289	0.027527982044239684	3.108035874605002e-4
11755	0.027527982044239684	3.11244035173208e-4
11771	0.027527982044239684	3.1355638566492414e-4
11855	0.027524290481675085	3.251165876672277e-4
